Customer_ID,First_Name,Last_Name,Email,Phone,Age,Gender,Annual_Income,Address_Line_1,City,State,ZIP_Code,Country,Registration_Date,Account_Status,Subscription_Member,Marketing_Consent,Acquisition_Channel,Satisfaction_Score_1_10,Loyalty_Points_Balance
CUST-001000,Samantha,Anderson,samantha26@gmail.com,892-958-9935,56,Female,78571,1524 Washington St,Seattle,WA,98101,USA,2025-01-24,Active,No,Yes,Referral,6,258
CUST-001001,Patricia,Lopez,patricialopez@hotmail.com,865-918-9928,41,Male,26995,6973 Pine Dr,Fresno,CA,93701,USA,2023-01-24,Inactive,No,No,Organic Search,1,15
CUST-001002,Emma,Scott,emma.scott@outlook.com,484-359-4527,53,Male,79245,5614 Oak St,New Orleans,LA,70101,USA,2021-12-02,Active,No,Yes,TV/Print,6,13
CUST-001003,Timothy,Gonzalez,timothy_gonzalez@protonmail.com,327-587-2291,41,Female,110073,9144 Cedar Rd,Colorado Springs,CO,80901,USA,2024-12-15,Active,No,Yes,Affiliate,5,17
CUST-001004,Helen,Campbell,helencampbell@gmail.com,281-438-2654,22,Male,98776,6327 Cedar Dr,Tulsa,OK,74101,USA,2026-01-18,Active,Yes,Yes,Paid Social,5,338
CUST-001005,Samantha,Campbell,samantha_campbell@outlook.com,863-273-3803,39,Female,56171,8851 Pine Ave,Nashville,TN,37201,USA,2025-04-06,Active,No,Yes,Referral,7,126
CUST-001006,Cynthia,Carter,cynthia277@aol.com,434-232-6168,23,Male,103912,6672 Cedar St,Minneapolis,MN,55401,USA,2023-04-26,Active,No,Yes,Affiliate,8,2137
CUST-001007,Margaret,Reed,margaret898@yahoo.com,669-346-5339,34,Male,170349,2387 Pine Rd,Boston,MA,02101,USA,2025-03-31,Active,No,No,Direct,6,69
CUST-001008,Brenda,Morgan,brenda270@yahoo.com,721-705-2489,64,Male,53438,871 Oak Ave,Long Beach,CA,90801,USA,2024-01-14,Active,Yes,Yes,Paid Social,8,19
CUST-001009,Benjamin,Lee,benjamin812@gmail.com,679-741-5119,18,Female,35438,9164 Main Rd,Louisville,KY,40201,USA,2023-02-04,Active,Yes,No,Direct,5,18
CUST-001010,Raymond,Anderson,raymonda@gmail.com,361-664-1053,55,Female,64318,4415 Maple Ln,New Orleans,LA,70101,USA,2024-12-10,Active,No,Yes,Organic Search,9,5868
CUST-001011,Susan,Watson,susan306@company.com,752-997-9689,58,Female,193428,109 Elm Dr,Fresno,CA,93701,USA,2023-01-09,Inactive,Yes,Yes,Organic Search,2,14
CUST-001012,John,Anderson,john_anderson@gmail.com,280-287-8962,33,Male,149254,1233 Maple Ave,Washington,DC,20001,USA,2025-02-04,Inactive,No,No,In-Store,3,32
CUST-001013,Gregory,Stewart,gregorys@gmail.com,416-752-4295,61,Female,51924,5207 Washington Rd,Austin,TX,78701,USA,2024-12-14,Active,Yes,No,Organic Search,9,203
CUST-001014,Katherine,Mitchell,katherinem@gmail.com,221-802-4770,75,Female,128373,9741 Pine St,Baltimore,MD,21201,USA,2025-10-05,Active,Yes,No,Paid Social,6,208
CUST-001015,Elizabeth,Price,elizabeth.price@gmail.com,726-443-5562,46,Female,89381,8053 Pine Ln,Charlotte,NC,28201,USA,2026-01-22,Active,No,Yes,Paid Social,5,493
CUST-001016,Thomas,Castillo,thomasc@yahoo.com,394-296-2588,54,Female,41340,7162 Elm Dr,Atlanta,GA,30301,USA,2023-10-15,Active,Yes,Yes,Referral,6,195
CUST-001017,Edward,Reyes,edward885@gmail.com,547-311-5073,41,Female,149198,3239 Pine Ln,Houston,TX,77001,USA,2022-08-30,Active,No,No,Paid Social,5,57
CUST-001018,Laura,Moore,lauramoore@outlook.com,653-763-2604,19,Female,96522,928 Main St,Seattle,WA,98101,USA,2023-11-05,Active,No,Yes,Affiliate,6,387
CUST-001019,Dennis,Walker,dwalker@aol.com,368-588-1035,53,Female,99147,6496 Cedar Dr,Tucson,AZ,85701,USA,2023-09-28,Active,No,Yes,Direct,6,149
CUST-001020,Andrew,Diaz,andrew714@gmail.com,422-259-9883,36,Female,44349,1098 Elm St,Cleveland,OH,44101,USA,2023-04-28,Active,Yes,No,Affiliate,8,66
CUST-001021,Michael,Howard,michaelh@yahoo.com,390-270-2113,44,Female,75196,3953 Washington St,Sacramento,CA,95801,USA,2025-07-22,Active,Yes,Yes,Email Campaign,7,3311
CUST-001022,Larry,Young,larryy@hotmail.com,778-735-6183,45,Female,57478,4372 Pine Rd,Chicago,IL,60601,USA,2022-12-19,Active,No,Yes,Referral,5,398
CUST-001023,Catherine,Green,catherine_green@icloud.com,274-209-8508,35,Male,82162,9324 Oak St,Portland,OR,97201,USA,2025-09-14,Active,No,Yes,Email Campaign,7,466
CUST-001024,Jonathan,Ramirez,jonathan_ramirez@gmail.com,491-361-8179,35,Female,78958,9000 Cedar Ln,Dallas,TX,75201,USA,2024-06-25,Active,No,No,Direct,5,20
CUST-001025,Katherine,Ortiz,katherine9@gmail.com,470-318-2753,63,Female,70301,9164 Maple Blvd,Kansas City,MO,64101,USA,2024-10-04,Active,No,Yes,In-Store,5,29
CUST-001026,Andrew,Cox,andrew216@yahoo.com,252-294-7939,24,Female,65732,4633 Main St,El Paso,TX,79901,USA,2025-04-19,Active,No,Yes,Organic Search,7,288
CUST-001027,Kevin,Foster,kevin134@outlook.com,774-209-2832,24,Female,123435,1332 Maple Ln,Indianapolis,IN,46201,USA,2025-07-14,Active,Yes,Yes,TV/Print,8,41
CUST-001028,Robert,Mitchell,robertm@yahoo.com,240-566-4441,24,Male,198011,4188 Oak Blvd,San Jose,CA,95101,USA,2024-01-11,Active,No,Yes,Affiliate,6,28
CUST-001029,Maria,Bailey,mbailey@gmail.com,366-381-7755,24,Female,173904,506 Maple Rd,Raleigh,NC,27601,USA,2022-03-28,Active,No,No,Organic Search,8,3926
CUST-001030,Kevin,Evans,kevin822@aol.com,310-591-1634,51,Female,112817,7811 Pine Ave,Tampa,FL,33601,USA,2021-11-22,Active,No,Yes,Organic Search,6,12
CUST-001031,Ryan,Hall,ryanhall@gmail.com,271-991-5573,44,Female,111904,5853 Washington Rd,Charlotte,NC,28201,USA,2026-04-22,Active,No,Yes,Organic Search,6,204
CUST-001032,Jonathan,Nelson,jonathan.nelson@outlook.com,239-311-8119,22,Female,60496,5763 Elm Dr,San Diego,CA,92101,USA,2021-07-09,Active,Yes,Yes,Paid Social,9,1195
CUST-001033,Nicole,Rogers,nrogers@hotmail.com,201-732-9821,35,Male,23535,3328 Elm Dr,Atlanta,GA,30301,USA,2025-05-16,Inactive,Yes,Yes,Email Campaign,3,11
CUST-001034,William,Bennett,william_bennett@outlook.com,719-516-7691,56,Female,37942,5444 Washington Rd,Raleigh,NC,27601,USA,2024-09-05,Inactive,No,Yes,Email Campaign,1,0
CUST-001035,Donna,Peterson,donnapeterson@gmail.com,830-782-5930,41,Female,36496,6753 Main Blvd,Las Vegas,NV,89101,USA,2022-09-17,Inactive,No,Yes,Paid Social,6,64
CUST-001036,Andrew,Clark,andrewc@yahoo.com,891-418-9375,38,Male,48572,7852 Maple Rd,Colorado Springs,CO,80901,USA,2022-10-08,Active,Yes,Yes,Organic Search,7,144
CUST-001037,David,Torres,david528@outlook.com,440-888-6085,55,Male,106296,3780 Pine Ave,Miami,FL,33101,USA,2022-12-19,Active,Yes,Yes,Referral,9,5314
CUST-001038,Patricia,Garcia,pgarcia@outlook.com,789-399-7291,42,Female,49604,8199 Washington Ave,Raleigh,NC,27601,USA,2021-09-03,Active,No,Yes,Direct,5,5
CUST-001039,Charles,Wood,charles.wood@gmail.com,380-912-9486,43,Female,129325,7711 Main Ln,New Orleans,LA,70101,USA,2021-08-12,Active,No,Yes,Email Campaign,5,354
CUST-001040,Ashley,Thomas,ashleythomas@hotmail.com,827-936-9270,32,Female,54702,7091 Lake Ave,Milwaukee,WI,53201,USA,2022-09-11,Active,Yes,No,Paid Social,9,7589
