Customer_ID,First_Name,Last_Name,Email,Phone,Age,Gender,Annual_Income,Address_Line_1,City,State,ZIP_Code,Country,Registration_Date,Account_Status,Subscription_Member,Marketing_Consent,Acquisition_Channel,Satisfaction_Score_1_10,Loyalty_Points_Balance,Days_Since_Registration,total_orders,completed_orders,total_revenue,avg_order_value,max_order_value,min_order_value,first_order_date,last_order_date,total_items,total_discount_amt,avg_discount_pct,refunded_orders,cancelled_orders,preferred_channel,preferred_category,recency_days,customer_lifespan_days,refund_rate,cancel_rate,revenue_per_item,total_interactions,support_tickets,email_opens,email_clicks,web_visits,app_opens,avg_duration_mins,avg_int_satisfaction,last_interaction_date,preferred_int_channel,days_since_last_interaction,email_ctr
CUST-001000,Samantha,Anderson,samantha26@gmail.com,892-958-9935,56,Female,78571,1524 Washington St,Seattle,WA,98101,USA,2025-01-24,Active,False,True,Referral,6.0,258,502,39,27,4168.9,106.89487179487179,175.29,54.49,2022-04-29,2026-04-18,112,54.03,1.5384615384615385,2,5,Online,Clothing,53,1450,0.05128205128205128,0.1282051282051282,37.222321428571426,101,14,15,19,18,6,8.267326732673267,2.4166666666666665,2026-05-28,In-Store,13,1.2667
CUST-001001,Patricia,Lopez,patricialopez@hotmail.com,865-918-9928,41,Male,26995,6973 Pine Dr,Fresno,CA,93701,USA,2023-01-24,Inactive,False,False,Organic Search,1.0,15,1233,7,6,389.13,55.589999999999996,82.7,37.66,2023-12-16,2025-08-31,13,4.18,1.4285714285714286,0,0,Online,Home & Garden,283,624,0.0,0.0,29.93307692307692,9,0,1,2,2,1,3.3333333333333335,,2026-04-19,In-Store,52,2.0
CUST-001002,Emma,Scott,emma.scott@outlook.com,484-359-4527,53,Male,79245,5614 Oak St,New Orleans,LA,70101,USA,2021-12-02,Active,False,True,TV/Print,6.0,13,1651,2,0,166.44,83.22,84.15,82.29,2025-03-23,2026-05-22,3,4.01,2.5,1,1,Mobile App,Books,19,425,0.5,0.5,55.48,13,0,3,2,2,0,5.538461538461538,,2026-05-19,Email,22,0.6667
CUST-001003,Timothy,Gonzalez,timothy_gonzalez@protonmail.com,327-587-2291,41,Female,110073,9144 Cedar Rd,Colorado Springs,CO,80901,USA,2024-12-15,Active,False,True,Affiliate,5.0,17,542,12,7,524.71,43.725833333333334,54.47,26.46,2024-05-22,2026-05-16,12,0.0,0.0,0,2,Online,Electronics,25,724,0.0,0.16666666666666666,43.725833333333334,58,9,9,9,10,5,8.879310344827585,3.142857142857143,2026-05-23,Mobile App,18,1.0
CUST-001004,Helen,Campbell,helencampbell@gmail.com,281-438-2654,22,Male,98776,6327 Cedar Dr,Tulsa,OK,74101,USA,2026-01-18,Active,True,True,Paid Social,5.0,338,143,18,13,1835.18,101.95444444444445,144.61,56.98,2021-11-25,2026-05-12,49,42.65,2.2222222222222223,2,0,Mobile App,Home & Garden,29,1629,0.1111111111111111,0.0,37.45265306122449,36,3,10,5,5,4,7.722222222222222,3.5,2026-05-15,Social Media,26,0.5
CUST-001005,Samantha,Campbell,samantha_campbell@outlook.com,863-273-3803,39,Female,56171,8851 Pine Ave,Nashville,TN,37201,USA,2025-04-06,Active,False,True,Referral,7.0,126,430,13,11,1472.99,113.30692307692308,172.32,52.8,2021-09-07,2026-03-25,39,20.88,1.9230769230769231,0,0,Online,Health & Beauty,77,1660,0.0,0.0,37.76897435897436,37,4,12,4,4,6,8.72972972972973,4.0,2026-04-29,Email,42,0.3333
CUST-001006,Cynthia,Carter,cynthia277@aol.com,434-232-6168,23,Male,103912,6672 Cedar St,Minneapolis,MN,55401,USA,2023-04-26,Active,False,True,Affiliate,8.0,2137,1141,51,37,17799.3,349.00588235294117,530.01,154.05,2022-07-29,2026-05-23,543,244.84,1.6666666666666667,7,4,Online,Electronics,18,1394,0.13725490196078433,0.0784313725490196,32.77955801104972,70,9,19,8,13,3,8.17142857142857,3.5,2026-06-10,Phone,0,0.4211
CUST-001007,Margaret,Reed,margaret898@yahoo.com,669-346-5339,34,Male,170349,2387 Pine Rd,Boston,MA,02101,USA,2025-03-31,Active,False,False,Direct,6.0,69,436,7,5,602.15,86.02142857142857,126.09,64.43,2022-09-02,2026-03-03,11,0.0,0.0,1,1,Mobile App,Food & Beverage,99,1278,0.14285714285714285,0.14285714285714285,54.74090909090909,24,3,3,2,6,4,7.958333333333333,3.5,2026-05-05,Web,36,0.6667
CUST-001008,Brenda,Morgan,brenda270@yahoo.com,721-705-2489,64,Male,53438,871 Oak Ave,Long Beach,CA,90801,USA,2024-01-14,Active,True,True,Paid Social,8.0,19,878,13,9,532.16,40.93538461538461,64.55,13.86,2023-04-10,2026-03-13,15,2.02,1.5384615384615385,0,1,Mobile App,Health & Beauty,89,1068,0.0,0.07692307692307693,35.477333333333334,19,1,4,6,4,1,4.947368421052632,1.0,2026-02-19,Email,111,1.5
CUST-001009,Benjamin,Lee,benjamin812@gmail.com,679-741-5119,18,Female,35438,9164 Main Rd,Louisville,KY,40201,USA,2023-02-04,Active,True,False,Direct,5.0,18,1222,2,2,166.39000000000001,83.19500000000001,103.26,63.13,2025-09-23,2026-06-04,3,0.0,0.0,0,0,Online,Sports,6,254,0.0,0.0,55.46333333333334,23,4,4,3,6,2,11.347826086956522,3.6666666666666665,2026-06-01,Web,9,0.75
